T20200014801,B,2020,1,N ,1,Paved,V,S WAG ,B M W ,X1 25I,,2,Station Wagon,,R,P,4,4,5,1540,1,,,N ,1,1,H,GRY,ZZ ,2,F,9,2,3043,9,1,Stop-go lights
T20200014805,A,1993,1,S ,1,Paved,V,SEDAN ,FORD  ,FALCON,,1,Car,,R,P,4,6,5,1400,1,,,SE,3,3,H,GRN,ZZ ,2,2,0,5,3816,1,9,Roundabout
T20200014805,B,2016,2,E ,1,Paved,V,TIPPER,KENWTH,T909  ,,72,Heavy Vehicle (Rigid) > 4.5 Tonnes,26500,R,D,6,6,2,11263,1,15237,"5,000",E ,1,1,J,WHI,ZZ ,2,F,2,1,3280,2,9,Roundabout
T20200014806,A,2016,2,N ,1,Paved,V,SEDAN ,MAZDA ,2 NEO ,,1,Car,,R,P,4,4,5,1020,0,,,N ,12,12,H,GRY,ZZ ,2,R,2,2,3184,2,0,No control
T20200014806,B,0,1,N ,1,Paved, ,      ,      ,      ,,13,Bicycle,, , ,,,,0,1,,,N ,1,1,H,ZZ ,ZZ ,0,F,2,6,,2,0,No control
T20200014809,A,1990,2,W ,1,Paved,V,TRAY  ,ISUZU ,FSR450,,71,Light Commercial Vehicle (Rigid) <= 4.5 Tonnes GVM,9300,R,D,4,6,3,3980,0,5320,,W ,11,11,H,WHI,ZZ ,2,8,2,1,3337,2,0,No control
T20200014809,B,2014,1,W ,1,Paved,V,SEDAN ,FORD  ,FOCUS ,,1,Car,,R,P,4,4,5,1349,1,,,W ,1,1,H,SIL,ZZ ,2,1,2,4,3024,1,0,No control
T20200014810,A,1993,1,NW,1,Paved,V,S WAG ,NISSAN,PATROL,,2,Station Wagon,,R,P,4,6,7,2000,1,,,NE,2,2,H,FWN,ZZ ,2,5,2,1,3121,2,1,Stop-go lights
T20200014815,A,2016,1,E ,1,Paved,V,SOLO  ,KYMCO ,LIKE  ,,10,Motor Cycle,, ,P,2,1,,0,1,,125,E ,1,1,H,OGE,ZZ ,2,1,9,2,3081,2,0,No control
T20200014819,A,2018,2,N ,1,Paved,V,SEDAN ,HOLDEN,COMM Z,,1,Car,,R,P,4,6,5,1695,1,,,N ,17,17,H,BLK,ZZ ,2,R,1,4,3121,1,1,Stop-go lights
T20200014819,B,2016,1,N ,1,Paved,V,DC UTE,MAZDA ,BT50  ,,4,Utility,3200,R,D,4,5,5,2103,1,1097,,N ,1,1,G,BRN,ZZ ,2,F,0,2,3059,2,1,Stop-go lights
T20200014819,C,2014,8,N ,1,Paved,V,SEDAN ,MERC B,CLA45 ,,1,Car,,R,P,4,4,5,2075,1,,,N ,17,17,H,SIL,ZZ ,2,R,1,1,3032,2,1,Stop-go lights
T20200014826,A,2016,1,SE,2,Unpaved,V,SOLO  ,UNKN  ,500EXC,,10,Motor Cycle,, ,P,2,1,,0,1,,500,SE,1,16,H,OGE,ZZ ,2,F,2,2,3722,2,0,No control
T20200014833,A,2014,2,NW,1,Paved,V,WAGON ,FORD  ,KUGA  ,,2,Station Wagon,,R,P,4,4,5,1605,1,,,NW,3,17,H,SIL,ZZ ,2,R,2,3,3810,1,11,Giveway sign
T20200014833,B,2005,1,NW,1,Paved,V,WAGON ,NISSAN,PATROL,,2,Station Wagon,,R,D,4,4,7,2345,1,,,NW,3,3,H,WHI,ZZ ,2,F,2,1,3810,2,11,Giveway sign
T20200014834,A,2010,1,NW,1,Paved,V,S WAG ,HOLDEN,CDORE ,,2,Station Wagon,,R,P,4,8,5,1890,2,,,NW,1,1,H,BLK,ZZ ,2,F,2,3,3977,1,0,No control
T20200014834,B,2019,2,W ,1,Paved,V,WAGON ,HYNDAI,SANTA ,,2,Station Wagon,,R,D,4,4,7,1944,3,,,NK,1,1,H,BLU,ZZ ,2,4,2,4,3056,1,0,No control
T20200014839,A,1994,1,SE,1,Paved,V,WAGON ,NISSAN,PATROL,,2,Station Wagon,,R,M,4,6,7,1900,1,,,SE,1,1,H,RED,ZZ ,2,F,2,6,3223,2,9,Roundabout
T20200014839,B,0,2,NE,1,Paved, ,      ,      ,      ,,13,Bicycle,, , ,,,,0,1,,,NE,1,1,H,ZZ ,ZZ ,0,5,1,1,,2,9,Roundabout
T20200014855,A,2004,2,W ,1,Paved,V,TRAY  ,HOLDEN,RODEO ,,71,Light Commercial Vehicle (Rigid) <= 4.5 Tonnes GVM,2740,R,P,4,6,2,1620,1,1120,,W ,1,1,H,WHI,ZZ ,2,F,2,4,3083,1,1,Stop-go lights
T20200014855,B,2005,1,N ,1,Paved,V,SEDAN ,SUBARU,LIBERT,,1,Car,,R,P,4,4,5,1385,1,,,W ,3,3,H,SIL,ZZ ,2,4,2,2,3111,2,1,Stop-go lights
T20200014860,A,0,1,SW,1,Paved,Z,      ,MAZDA ,CX5   ,,99,Unknown,, ,Z,,,,0,1,,,SW,99,99,H,BLK,ZZ ,9,5,9,1,,2,0,No control
T20200014865,A,2012,2,SW,1,Paved,V,SOLO  ,HONDA ,VFR   ,,10,Motor Cycle,, ,P,2,2,,0,1,,800,SW,1,1,H,WHI,ZZ ,2,F,2,1,3032,1,0,No control
T20200014865,B,2010,1,SW,1,Paved,V,WAGON ,HOLDEN,COMMO ,,2,Station Wagon,,R,P,4,6,5,1450,1,,,SW,2,6,H,SIL,ZZ ,2,1,1,1,3030,2,0,No control
T20200014871,A,1998,1,N ,1,Paved,S,UTIL  ,HOLDEN,COMMOD,,4,Utility,, ,Z,4,6,2,1477,1,,,N ,1,1,H,BRN,ZZ ,2,2,2,4,5290,1,11,Giveway sign
T20200014871,B,2019,2,W ,1,Paved,V,DC UTE,HOLDEN,COLORA,,4,Utility,3150,R,D,4,4,5,2010,1,1140,,W ,1,1,H,WHI,ZZ ,2,F,2,4,3224,1,0,No control
T20200014875,A,2016,2,S ,1,Paved,V,SEDAN ,FORD  ,FOCUS ,,1,Car,,R,P,4,4,5,1321,1,,,S ,1,1,H,BLU,ZZ ,2,F,2,4,3137,1,1,Stop-go lights
T20200014875,B,1998,1,W ,1,Paved,V,UTIL  ,TOYOTA,HILUX ,,4,Utility,,R,D,4,4,3,1400,1,,,N ,2,2,H,WHI,ZZ ,2,3,2,3,3138,1,1,Stop-go lights
T20200014877,A,2016,1,W ,1,Paved,V,UTIL  ,ISUZU ,D MAX ,,4,Utility,,R,P,4,4,5,1945,1,,,SW,1,1,H,CRM,ZZ ,2,F,2,3,3023,1,1,Stop-go lights
