ACCIDENT_NO,NODE_ID,NODE_TYPE,VICGRID94_X,VICGRID94_Y,LGA_NAME,LGA_NAME_ALL,REGION_NAME,DEG_URBAN_NAME,Lat,Long,POSTCODE_NO,ACCIDENTDATE,ACCIDENTTIME,ACCIDENT_TYPE,Accident Type Desc,DAY_OF_WEEK,Day Week Description,DCA_CODE,DCA Description,DIRECTORY,EDITION,PAGE,GRID_REFERENCE_X,GRID_REFERENCE_Y,LIGHT_CONDITION,Light Condition Desc,NODE_ID,NO_OF_VEHICLES,NO_PERSONS,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_KILLED,NO_PERSONS_NOT_INJ,POLICE_ATTEND,ROAD_GEOMETRY,Road Geometry Desc,SEVERITY,SPEED_ZONE
T20060000272,57525,I,2502290.164,2403920.362,GLEN EIRA,GLEN EIRA,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-37.86578907,145.0260279,3161,21/1/06,23:50:00,1,Collision with vehicle,7,Saturday,130,REAR END(VEHICLES IN SAME LANE)               ,MEL,40,99,H,8,3,Dark Street lights on,55769,2,4,1,0,0,3,1,2,T intersection,2,80
T20060000284,209205,N,2564020.361,2318596.418,BASS COAST,BASS COAST,EASTERN REGION,TOWNS,-38.63216986,145.7350686,3996,22/1/06,1:25:00,4,Collision with a fixed object,1,Sunday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE      ,VCS,9,97,J,5,5,Dark No street lights,203273,1,1,1,0,0,0,1,5,Not at intersection,2,100
T20060000286,55769,I,2512451.98,2375348.942,FRANKSTON,FRANKSTON,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-38.12311703,145.1420018,3198,22/1/06,10:03:00,1,Collision with vehicle,1,Sunday,136,RIGHT TURN SIDESWIPE                    ,VCS,9,700,F,5,1,Day,203280,2,4,1,0,0,3,1,5,Not at intersection,3,60
T20060000286,55769,I,2512451.98,2375348.942,FRANKSTON,FRANKSTON,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-38.12311703,145.1420018,3200,21/1/06,23:00:00,4,Collision with a fixed object,7,Saturday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE      ,VCS,9,718,H,11,3,Dark Street lights on,202772,1,1,1,0,0,0,1,5,Not at intersection,3,60
T20060000292,203273,N,2629664.881,2364694.33,LATROBE,LATROBE,EASTERN REGION,SMALL_CITIES,-38.21010048,146.4804639,3844,22/1/06,3:15:00,4,Collision with a fixed object,1,Sunday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,MEL,40,127,C,3,5,Dark No street lights,203281,1,3,1,2,0,0,1,5,Not at intersection,2,50
T20060000294,203280,N,2610937.182,2368495.905,LATROBE,LATROBE,EASTERN REGION,SMALL_CITIES,-38.17829142,146.2660883,3825,19/1/06,11:35:00,1,Collision with vehicle,5,Thursday,130,REAR END(VEHICLES IN SAME LANE)               ,VCS,9,96,G,9,1,Day,205210,3,4,0,1,0,3,1,5,Not at intersection,3,100
T20060000295,202772,N,2563472.658,2377722.872,CARDINIA,CARDINIA,METROPOLITAN SOUTH EAST REGION,TOWNS,-38.09964123,145.7236201,3815,22/1/06,18:00:00,4,Collision with a fixed object,1,Sunday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE          ,MEL,40,35,H,7,1,Day,202824,1,3,1,1,0,1,1,5,Not at intersection,3,70
T20060000300,203281,N,2537883.411,2397200.413,CARDINIA,CARDINIA,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-37.92556435,145.4308902,3782,22/1/06,23:30:00,4,Collision with a fixed object,1,Sunday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,MEL,40,160,G,9,5,Dark No street lights,201518,1,1,0,0,1,0,1,5,Not at intersection,1,90
T20060000302,205210,N,2579506.176,2338845.873,SOUTH GIPPSLAND,SOUTH GIPPSLAND,EASTERN REGION,RURAL_VICTORIA,-38.44859294,145.9106398,3953,21/1/06,19:40:00,1,Collision with vehicle,7,Saturday,110,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,MEL,40,146,K,2,1,Day,43993,2,3,1,2,0,0,1,1,Cross intersection,2,100
T20060000309,202824,N,2520242.205,2414828.38,MANNINGHAM,MANNINGHAM,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-37.76729021,145.2297544,3114,1/1/06,6:30:00,4,Collision with a fixed object,1,Sunday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,MEL,40,17,G,4,1,Day,3079,1,5,3,0,2,0,1,5,Not at intersection,1,70
