"ACCIDENT_NO","ACCIDENTDATE","ACCIDENTTIME","Accident Type Desc","Day Week Description","Light Condition Desc","NO_OF_VEHICLES","NO_PERSONS","Road Geometry Desc","SEVERITY","SPEED_ZONE","VEHICLE_ID","VEHICLE_YEAR_MANUF","VEHICLE_BODY_STYLE","VEHICLE_MAKE","Vehicle Type Desc","SEX","AGE","Age Group","Road User Type Desc"
"T20190003740","26/2/19",12:55:00,"Collision with vehicle","Tuesday","Day",2,2,"Not at intersection",3,40,"A",2013,"SEDAN","MERC B","Car","M",23,"22-25","Drivers"
"T20190003744","26/2/19",14:00:00,"Collision with vehicle","Tuesday","Day",2,1,"T intersection",3,50,"A",2015,"SEDAN","TOYOTA","Car","F",67,"64-69","Drivers"
"T20190003747","26/2/19",14:30:00,"Collision with vehicle","Tuesday","Day",2,3,"Cross intersection",2,60,"A",2017,"SEDAN","MERC B","Car","M",22,"22-25","Drivers"
"T20190003747","26/2/19",14:30:00,"Collision with vehicle","Tuesday","Day",2,3,"Cross intersection",2,60,"B",2015,"SEDAN","HOLDEN","Taxi","M",37,"30-39","Drivers"
"T20190003748","26/2/19",12:46:00,"Collision with vehicle","Tuesday","Day",2,3,"Cross intersection",2,80,"A",2004,"SEDAN","B M W","Car","F",18,"17-21","Drivers"
"T20190003748","26/2/19",12:46:00,"Collision with vehicle","Tuesday","Day",2,3,"Cross intersection",2,80,"B",2014,"SEDAN","HYNDAI","Car","F",29,"26-29","Drivers"
"T20190003749","26/2/19",15:05:00,"Collision with vehicle","Tuesday","Day",2,2,"Not at intersection",3,80,"A",2015,"JEEP","JEEP","Station Wagon","M",64,"60-64","Drivers"
"T20190003749","26/2/19",15:05:00,"Collision with vehicle","Tuesday","Day",2,2,"Not at intersection",3,80,"B",2009,"G UNIT","IVECO","Heavy Vehicle (Rigid) > 4.5 Tonnes","M",55,"50-59","Drivers"
"T20190003753","26/2/19",17:20:00,"Collision with vehicle","Tuesday","Day",2,2,"Cross intersection",3,50,"A",2008,"WAGON","MERC B","Station Wagon","M",51,"50-59","Drivers"
"T20190003753","26/2/19",17:20:00,"Collision with vehicle","Tuesday","Day",2,2,"Cross intersection",3,50,"B",2015,"UTIL","HOLDEN","Utility","M",51,"50-59","Drivers"
"T20190003754","26/2/19",17:15:00,"Collision with vehicle","Tuesday","Day",2,2,"T intersection",2,80,"A",2005,"WAGON","L ROV","Station Wagon","M",31,"30-39","Drivers"
"T20190003754","26/2/19",17:15:00,"Collision with vehicle","Tuesday","Day",2,2,"T intersection",2,80,"B",2015,"WAGON","B M W","Station Wagon","M",83,"70+","Drivers"
"T20190003755","26/2/19",08:30:00,"Collision with vehicle","Tuesday","Day",2,2,"Cross intersection",3,60,"A",2016,"SEDAN","TOYOTA","Car","M",68,"64-69","Drivers"
"T20190003756","26/2/19",16:20:00,"Collision with vehicle","Tuesday","Day",2,2,"T intersection",2,60,"A",2005,"SEDAN","TOYOTA","Car","M",75,"70+","Drivers"
"T20190003762","26/2/19",16:35:00,"Collision with vehicle","Tuesday","Day",2,2,"Cross intersection",2,60,"A",2010,"WAGON","TOYOTA","Station Wagon","F",19,"17-21","Drivers"
"T20190003762","26/2/19",16:35:00,"Collision with vehicle","Tuesday","Day",2,2,"Cross intersection",2,60,"B",2012,"SEDAN","KIA","Car","F",61,"60-64","Drivers"
"T20190003763","26/2/19",17:15:00,"Vehicle overturned (no collision)","Tuesday","Day",2,2,"T intersection",3,40,"A",2018,"WAGON","HOLDEN","Station Wagon","M",37,"30-39","Drivers"
"T20190003764","24/2/19",13:45:00,"Collision with vehicle","Sunday","Day",2,2,"Cross intersection",3,80,"A",2007,"SEDAN","SUZUKI","Car","F",31,"30-39","Drivers"
"T20190003764","24/2/19",13:45:00,"Collision with vehicle","Sunday","Day",2,2,"Cross intersection",3,80,"B",2018,"SEDAN","TOYOTA","Car","M",22,"22-25","Drivers"
"T20190003766","26/2/19",17:30:00,"Collision with vehicle","Tuesday","Day",2,2,"T intersection",3,60,"B",2017,"SEDAN","HOLDEN","Car","M",24,"22-25","Drivers"
"T20190003767","26/2/19",20:30:00,"Collision with vehicle","Tuesday","Dark Street lights on",3,3,"Not at intersection",3,50,"A",2001,"SED","TOYOTA","Car","M",49,"40-49","Drivers"
"T20190003767","26/2/19",20:30:00,"Collision with vehicle","Tuesday","Dark Street lights on",3,3,"Not at intersection",3,50,"B",2002,"S WAG","TOYOTA","Station Wagon","F",53,"50-59","Drivers"
"T20190003767","26/2/19",20:30:00,"Collision with vehicle","Tuesday","Dark Street lights on",3,3,"Not at intersection",3,50,"C",1999,"WAGON","JEEP","Station Wagon","F",22,"22-25","Drivers"
"T20190003768","26/2/19",17:10:00,"Collision with vehicle","Tuesday","Day",3,3,"Not at intersection",3,80,"A",2010,"SEDAN","TOYOTA","Car","F",29,"26-29","Drivers"
"T20190003768","26/2/19",17:10:00,"Collision with vehicle","Tuesday","Day",3,3,"Not at intersection",3,80,"B",2003,"SEDAN","HOLDEN","Car","F",48,"40-49","Drivers"
"T20190003768","26/2/19",17:10:00,"Collision with vehicle","Tuesday","Day",3,3,"Not at intersection",3,80,"C",2015,"WAGON","NISSAN","Station Wagon","F",52,"50-59","Drivers"
"T20190003769","26/2/19",14:30:00,"Collision with vehicle","Tuesday","Day",4,2,"Not at intersection",3,60,"A",2008,"TOURER","PEUG","Car","M",26,"26-29","Drivers"
"T20190003769","26/2/19",14:30:00,"Collision with vehicle","Tuesday","Day",4,2,"Not at intersection",3,60,"B",2016,"SEDAN","UNKN","Car","F",25,"22-25","Drivers"
"T20190003774","26/2/19",06:15:00,"Collision with vehicle","Tuesday","Dusk/Dawn",2,3,"Cross intersection",2,60,"A",2004,"SEDAN","VOLKS","Car","M",35,"30-39","Drivers"
