"ACCIDENT_NO","ACCIDENTDATE","ACCIDENTTIME","Accident Type Desc","Day Week Description","Light Condition Desc","NO_OF_VEHICLES","NO_PERSONS","Road Geometry Desc","SEVERITY","SPEED_ZONE","VEHICLE_ID","VEHICLE_YEAR_MANUF","VEHICLE_BODY_STYLE","VEHICLE_MAKE","Vehicle Type Desc","SEX","AGE","Age Group","Road User Type Desc"
"T20190014555","4/8/19",09:20:00,"Collision with vehicle","Sunday","Day",2,2,"Cross intersection",3,40,"B",2012,"SEDAN","TOYOTA","Car","M",30,"30-39","Drivers"
"T20190014556","4/8/19",12:20:00,"No collision and no object struck","Sunday","Day",2,2,"Not at intersection",3,60,"B",2016,"WAGON","UNKN","Station Wagon","M",37,"30-39","Drivers"
"T20190014560","4/8/19",14:47:00,"Collision with a fixed object","Sunday","Day",1,3,"T intersection",3,50,"A",2004,"SEDAN","FORD","Car","F",28,"26-29","Drivers"
"T20190014561","2/8/19",19:10:00,"Collision with vehicle","Friday","Dark Street lights on",2,2,"Cross intersection",3,100,"A",1997,"SEDAN","MAZDA","Car","M",20,"17-21","Drivers"
"T20190014561","2/8/19",19:10:00,"Collision with vehicle","Friday","Dark Street lights on",2,2,"Cross intersection",3,100,"B",2009,"SEDAN","MAZDA","Car","F",49,"40-49","Drivers"
"T20190014564","4/8/19",14:11:00,"Collision with a fixed object","Sunday","Day",1,5,"Not at intersection",3,100,"A",2007,"WAGON","NISSAN","Station Wagon","M",48,"40-49","Drivers"
"T20190014566","4/8/19",06:30:00,"Struck Pedestrian","Sunday","Dark Street lights on",1,2,"Cross intersection",3,60,"A",2001,"TRAY","IVECO","Light Commercial Vehicle (Rigid) <= 4.5 Tonnes GVM","M",64,"60-64","Drivers"
"T20190014567","1/8/19",17:20:00,"Collision with vehicle","Thursday","Dark Street lights unknown",2,2,"Not at intersection",3,40,"A",2013,"SEDAN","MAZDA","Car","M",44,"40-49","Drivers"
"T20190014567","1/8/19",17:20:00,"Collision with vehicle","Thursday","Dark Street lights unknown",2,2,"Not at intersection",3,40,"B",2013,"SEDAN","HOLDEN","Car","F",19,"17-21","Drivers"
"T20190014569","4/8/19",17:03:00,"Collision with vehicle","Sunday","Dusk/Dawn",2,2,"Not at intersection",3,60,"A",2019,"S WAG","B M W","Station Wagon","M",32,"30-39","Drivers"
"T20190014570","4/8/19",14:20:00,"Collision with vehicle","Sunday","Day",2,6,"Cross intersection",3,70,"A",2009,"WAGON","MERC B","Station Wagon","F",41,"40-49","Drivers"
"T20190014570","4/8/19",14:20:00,"Collision with vehicle","Sunday","Day",2,6,"Cross intersection",3,70,"B",2013,"SEDAN","TOYOTA","Car","M",35,"30-39","Drivers"
"T20190014571","4/8/19",16:32:00,"Vehicle overturned (no collision)","Sunday","Day",2,4,"T intersection",3,50,"B",2017,"SEDAN","HOLDEN","Car","U",NA,"unknown","Drivers"
"T20190014572","4/8/19",18:12:00,"Collision with vehicle","Sunday","Dark Street lights on",2,4,"Unknown",3,60,"A",2001,"SEDAN","FORD","Car","M",27,"26-29","Drivers"
"T20190014572","4/8/19",18:12:00,"Collision with vehicle","Sunday","Dark Street lights on",2,4,"Unknown",3,60,"B",2009,"SEDAN","HOLDEN","Car","F",32,"30-39","Drivers"
"T20190014579","4/8/19",18:21:00,"Collision with a fixed object","Sunday","Dark No street lights",1,1,"T intersection",3,100,"A",2011,"SEDAN","HOLDEN","Car","F",20,"17-21","Drivers"
"T20190014581","28/6/19",08:40:00,"Collision with vehicle","Friday","Day",2,2,"Cross intersection",3,50,"A",2015,"SEDAN","KIA","Car","F",53,"50-59","Drivers"
"T20190014582","4/8/19",21:53:00,"Collision with a fixed object","Sunday","Dark Street lights on",1,1,"Not at intersection",3,80,"A",2002,"WAGON","B M W","Station Wagon","F",26,"26-29","Drivers"
"T20190014584","28/7/19",12:39:00,"Collision with vehicle","Sunday","Day",2,2,"Not at intersection",3,60,"A",2011,"SEDAN","HOLDEN","Car","M",22,"22-25","Drivers"
"T20190014584","28/7/19",12:39:00,"Collision with vehicle","Sunday","Day",2,2,"Not at intersection",3,60,"B",2012,"SEDAN","FORD","Car","F",25,"22-25","Drivers"
"T20190014590","5/8/19",01:40:00,"Collision with vehicle","Monday","Dark Street lights on",2,6,"Cross intersection",3,60,"A",2010,"SEDAN","FORD","Car","M",34,"30-39","Drivers"
"T20190014590","5/8/19",01:40:00,"Collision with vehicle","Monday","Dark Street lights on",2,6,"Cross intersection",3,60,"B",2017,"VAN","IVECO","Heavy Vehicle (Rigid) > 4.5 Tonnes","M",45,"40-49","Drivers"
"T20190014596","5/8/19",09:45:00,"Collision with vehicle","Monday","Day",2,3,"Cross intersection",3,60,"A",2012,"SEDAN","HYNDAI","Car","F",19,"17-21","Drivers"
"T20190014596","5/8/19",09:45:00,"Collision with vehicle","Monday","Day",2,3,"Cross intersection",3,60,"B",2005,"WAGON","FORD","Station Wagon","F",70,"70+","Drivers"
"T20190014597","4/8/19",21:17:00,"Collision with a fixed object","Sunday","Dark No street lights",1,1,"Not at intersection",3,100,"A",2012,"WAGON","JEEP","Station Wagon","M",26,"26-29","Drivers"
"T20190014601","24/7/19",09:58:00,"Collision with vehicle","Wednesday","Day",2,3,"Not at intersection",3,50,"A",2019,"SEDAN","NISSAN","Car","F",54,"50-59","Drivers"
"T20190014601","24/7/19",09:58:00,"Collision with vehicle","Wednesday","Day",2,3,"Not at intersection",3,50,"B",2005,"VAN","HINO","Heavy Vehicle (Rigid) > 4.5 Tonnes","M",31,"30-39","Drivers"
"T20190014602","20/7/19",12:45:00,"Collision with vehicle","Saturday","Day",2,2,"Cross intersection",3,50,"A",2000,"UTIL","MAZDA","Utility","M",64,"60-64","Drivers"
"T20190014602","20/7/19",12:45:00,"Collision with vehicle","Saturday","Day",2,2,"Cross intersection",3,50,"B",2014,"S WAG","FORD","Station Wagon","F",47,"40-49","Drivers"
"T20190014605","27/6/19",08:30:00,"Collision with vehicle","Thursday","Unknown",2,2,"Cross intersection",3,50,"A",2017,"DC UTE","TOYOTA","Utility","M",45,"40-49","Drivers"
"T20190014605","27/6/19",08:30:00,"Collision with vehicle","Thursday","Unknown",2,2,"Cross intersection",3,50,"B",2014,"WAGON","FORD","Station Wagon","F",44,"40-49","Drivers"
"T20190014606","29/7/19",08:40:00,"Collision with vehicle","Monday","Day",2,4,"Not at intersection",2,80,"A",2008,"SEDAN","TOYOTA","Car","F",42,"40-49","Drivers"
"T20190014606","29/7/19",08:40:00,"Collision with vehicle","Monday","Day",2,4,"Not at intersection",2,80,"B",1985,"S WAG","NISSAN","Station Wagon","M",87,"70+","Drivers"
"T20190014607","5/8/19",13:05:00,"Struck Pedestrian","Monday","Day",1,2,"T intersection",3,50,"A",2018,"WAGON","TOYOTA","Car","M",48,"40-49","Drivers"
"T20190014608","4/8/19",13:10:00,"Collision with vehicle","Sunday","Day",2,2,"Cross intersection",3,80,"A",2002,"SEDAN","HOLDEN","Car","M",26,"26-29","Drivers"
"T20190014608","4/8/19",13:10:00,"Collision with vehicle","Sunday","Day",2,2,"Cross intersection",3,80,"B",1998,"UTIL","FORD","Utility","F",28,"26-29","Drivers"
"T20190014609","5/8/19",12:20:00,"Struck Pedestrian","Monday","Day",1,2,"Not at intersection",3,60,"A",2016,"WAGON","MAZDA","Station Wagon","F",39,"30-39","Drivers"
"T20190014610","4/8/19",07:00:00,"Collision with vehicle","Sunday","Day",2,2,"Cross intersection",3,60,"A",2012,"SEDAN","HOLDEN","Car","F",38,"30-39","Drivers"
"T20190014610","4/8/19",07:00:00,"Collision with vehicle","Sunday","Day",2,2,"Cross intersection",3,60,"B",2010,"BUS","SCANIA","Bus/Coach","M",52,"50-59","Drivers"
"T20190014612","5/8/19",12:05:00,"Collision with vehicle","Monday","Day",2,3,"T intersection",3,60,"A",2007,"SEDAN","MITSUB","Car","M",53,"50-59","Drivers"
"T20190014612","5/8/19",12:05:00,"Collision with vehicle","Monday","Day",2,3,"T intersection",3,60,"B",2018,"WAGON","MERC B","Station Wagon","F",34,"30-39","Drivers"
"T20190014615","5/8/19",10:20:00,"Collision with vehicle","Monday","Day",2,2,"T intersection",3,80,"A",2006,"UTIL","FORD","Utility","M",51,"50-59","Drivers"
"T20190014615","5/8/19",10:20:00,"Collision with vehicle","Monday","Day",2,2,"T intersection",3,80,"B",2012,"S WAG","NISSAN","Station Wagon","M",33,"30-39","Drivers"
"T20190014616","5/8/19",13:19:00,"Collision with vehicle","Monday","Day",2,2,"Not at intersection",3,60,"A",2017,"WAGON","HONDA","Station Wagon","F",36,"30-39","Drivers"
"T20190014618","5/8/19",11:00:00,"Collision with a fixed object","Monday","Day",1,1,"Not at intersection",3,100,"A",0,"SED","TOYOTA","Car","M",24,"22-25","Drivers"
"T20190014623","5/7/19",10:15:00,"Collision with a fixed object","Friday","Day",1,1,"Not at intersection",3,100,"A",2015,"WAGON","HOLDEN","Station Wagon","F",59,"50-59","Drivers"
"T20190014625","5/8/19",10:24:00,"Collision with a fixed object","Monday","Day",1,1,"Cross intersection",2,60,"A",2015,"WAGON","HOLDEN","Station Wagon","M",18,"17-21","Drivers"
"T20190014628","3/8/19",14:45:00,"Struck Pedestrian","Saturday","Unknown",1,2,"Cross intersection",3,70,"A",2013,"WAGON","M MOVE","Station Wagon","F",53,"50-59","Drivers"
"T20190014629","5/8/19",14:00:00,"Collision with vehicle","Monday","Day",2,2,"Cross intersection",3,60,"A",2012,"SEDAN","NISSAN","Car","F",72,"70+","Drivers"
"T20190014629","5/8/19",14:00:00,"Collision with vehicle","Monday","Day",2,2,"Cross intersection",3,60,"B",2004,"SEDAN","HOLDEN","Car","F",24,"22-25","Drivers"
"T20190014630","5/8/19",14:35:00,"Collision with vehicle","Monday","Day",2,2,"Not at intersection",3,60,"A",2009,"WAGON","TOYOTA","Station Wagon","M",56,"50-59","Drivers"
"T20190014632","28/7/19",16:30:00,"Collision with vehicle","Sunday","Day",2,5,"Not at intersection",3,60,"A",2018,"UTIL","ISUZU","Utility","M",22,"22-25","Drivers"
"T20190014632","28/7/19",16:30:00,"Collision with vehicle","Sunday","Day",2,5,"Not at intersection",3,60,"B",2013,"WAGON","VOLVO","Station Wagon","F",43,"40-49","Drivers"
"T20190014635","12/7/19",16:15:00,"Collision with vehicle","Friday","Day",2,2,"Cross intersection",3,80,"A",2013,"SEDAN","MAZDA","Car","F",50,"50-59","Drivers"
"T20190014635","12/7/19",16:15:00,"Collision with vehicle","Friday","Day",2,2,"Cross intersection",3,80,"B",2002,"SEDAN","FORD","Car","M",46,"40-49","Drivers"
"T20190014638","5/8/19",13:11:00,"Collision with vehicle","Monday","Day",3,3,"Not at intersection",3,80,"A",2001,"SEDAN","HOLDEN","Car","U",NA,"unknown","Drivers"
"T20190014638","5/8/19",13:11:00,"Collision with vehicle","Monday","Day",3,3,"Not at intersection",3,80,"B",2017,"SEDAN","KIA","Car","F",33,"30-39","Drivers"
"T20190014638","5/8/19",13:11:00,"Collision with vehicle","Monday","Day",3,3,"Not at intersection",3,80,"C",2006,"TRAY","TOYOTA","Light Commercial Vehicle (Rigid) <= 4.5 Tonnes GVM","M",25,"22-25","Drivers"
"T20190014639","5/8/19",13:00:00,"Collision with a fixed object","Monday","Day",1,1,"Not at intersection",1,100,"A",1998,"SED","NISSAN","Car","F",69,"64-69","Drivers"
"T20190014640","5/8/19",13:46:00,"Struck Pedestrian","Monday","Day",1,2,"Not at intersection",3,50,"A",1997,"SEDAN","MITSUB","Car","M",35,"30-39","Drivers"
"T20190014644","5/8/19",16:56:00,"Collision with a fixed object","Monday","Day",1,1,"Cross intersection",3,50,"A",2012,"SEDAN","SUBARU","Car","M",95,"70+","Drivers"
"T20190014645","5/8/19",18:38:00,"Collision with vehicle","Monday","Dark Street lights on",2,3,"Cross intersection",2,60,"A",2013,"DC UTE","HOLDEN","Utility","F",20,"17-21","Drivers"
"T20190014646","19/7/19",18:30:00,"Collision with vehicle","Friday","Dark Street lights on",5,5,"Not at intersection",3,40,"A",2012,"WAGON","NISSAN","Station Wagon","M",54,"50-59","Drivers"
"T20190014646","19/7/19",18:30:00,"Collision with vehicle","Friday","Dark Street lights on",5,5,"Not at intersection",3,40,"C",0,"SEDAN","UNKN","Car","U",NA,"unknown","Drivers"
"T20190014646","19/7/19",18:30:00,"Collision with vehicle","Friday","Dark Street lights on",5,5,"Not at intersection",3,40,"D",0,"SEDAN","UNKN","Car","U",NA,"unknown","Drivers"
"T20190014646","19/7/19",18:30:00,"Collision with vehicle","Friday","Dark Street lights on",5,5,"Not at intersection",3,40,"E",0,"SEDAN","UNKN","Car","U",NA,"unknown","Drivers"
"T20190014648","5/8/19",17:27:00,"Collision with vehicle","Monday","Day",2,2,"Not at intersection",3,50,"A",2009,"SEDAN","HYNDAI","Car","M",87,"70+","Drivers"
"T20190014650","5/8/19",18:33:00,"Collision with vehicle","Monday","Dark Street lights on",2,2,"T intersection",3,100,"A",1998,"SED","FORD","Car","M",19,"17-21","Drivers"
"T20190014650","5/8/19",18:33:00,"Collision with vehicle","Monday","Dark Street lights on",2,2,"T intersection",3,100,"B",1997,"DC UTE","MAZDA","Utility","M",17,"16-17","Drivers"
"T20190014654","5/8/19",02:30:00,"Collision with a fixed object","Monday","Dark Street lights on",2,2,"T intersection",3,60,"B",2019,"WAGON","VOLKS","Station Wagon","U",NA,"unknown","Drivers"
"T20190014657","28/7/19",13:30:00,"Vehicle overturned (no collision)","Sunday","Day",2,5,"T intersection",3,80,"A",2015,"WAGON","NISSAN","Station Wagon","F",31,"30-39","Drivers"
"T20190014657","28/7/19",13:30:00,"Vehicle overturned (no collision)","Sunday","Day",2,5,"T intersection",3,80,"B",2009,"RDSTR","LOTUS","Car","M",53,"50-59","Drivers"
"T20190014658","5/8/19",19:45:00,"Collision with a fixed object","Monday","Dark Street lights on",1,1,"Not at intersection",2,60,"A",2013,"SEDAN","MITSUB","Car","F",36,"30-39","Drivers"
"T20190014659","5/8/19",23:40:00,"Struck Pedestrian","Monday","Dark No street lights",1,2,"Not at intersection",3,60,"A",2018,"TRAY","UNKN","Heavy Vehicle (Rigid) > 4.5 Tonnes","M",28,"26-29","Drivers"
"T20190014661","17/7/19",10:08:00,"Struck Pedestrian","Wednesday","Day",1,2,"T intersection",3,50,"A",1999,"VAN","ISUZU","Panel Van","M",20,"17-21","Drivers"
"T20190014665","6/8/19",04:10:00,"Collision with a fixed object","Tuesday","Dark Street lights on",1,1,"T intersection",3,60,"A",2005,"UTIL","FORD","Utility","F",57,"50-59","Drivers"
"T20190014667","6/8/19",05:40:00,"Collision with vehicle","Tuesday","Dark Street lights on",2,2,"Cross intersection",3,60,"A",2009,"COUPE","VOLVO","Car","M",54,"50-59","Drivers"
"T20190014667","6/8/19",05:40:00,"Collision with vehicle","Tuesday","Dark Street lights on",2,2,"Cross intersection",3,60,"B",2013,"S WAG","FORD","Station Wagon","M",67,"64-69","Drivers"
"T20190014669","5/8/19",15:30:00,"Collision with vehicle","Monday","Day",2,2,"T intersection",3,80,"A",2011,"DC UTE","MITSUB","Utility","M",66,"64-69","Drivers"
"T20190014669","5/8/19",15:30:00,"Collision with vehicle","Monday","Day",2,2,"T intersection",3,80,"B",1992,"SEDAN","MAZDA","Car","F",80,"70+","Drivers"
"T20190014671","6/7/19",18:30:00,"Collision with vehicle","Saturday","Dark Street lights on",2,2,"Not at intersection",3,50,"A",2019,"SEDAN","MAZDA","Car","F",26,"26-29","Drivers"
"T20190014671","6/7/19",18:30:00,"Collision with vehicle","Saturday","Dark Street lights on",2,2,"Not at intersection",3,50,"B",2005,"SEDAN","FORD","Car","M",22,"22-25","Drivers"
"T20190014673","19/7/19",13:45:00,"Collision with vehicle","Friday","Day",2,4,"Cross intersection",3,70,"A",1998,"COUPE","NISSAN","Car","M",37,"30-39","Drivers"
"T20190014673","19/7/19",13:45:00,"Collision with vehicle","Friday","Day",2,4,"Cross intersection",3,70,"B",2002,"WAGON","NISSAN","Station Wagon","M",41,"40-49","Drivers"
"T20190014676","1/8/19",10:15:00,"Collision with vehicle","Thursday","Day",2,2,"Cross intersection",3,999,"A",2012,"UTIL","G WALL","Utility","M",65,"64-69","Drivers"
"T20190014676","1/8/19",10:15:00,"Collision with vehicle","Thursday","Day",2,2,"Cross intersection",3,999,"B",2008,"SEDAN","B M W","Car","F",22,"22-25","Drivers"
"T20190014677","6/8/19",09:10:00,"Collision with vehicle","Tuesday","Day",2,2,"Cross intersection",3,40,"B",2004,"SEDAN","MERC B","Car","F",51,"50-59","Drivers"
"T20190014678","27/7/19",18:30:00,"Collision with vehicle","Saturday","Day",2,2,"Cross intersection",3,80,"A",2009,"SED","SUZUKI","Car","F",28,"26-29","Drivers"
"T20190014678","27/7/19",18:30:00,"Collision with vehicle","Saturday","Day",2,2,"Cross intersection",3,80,"B",2008,"SEDAN","SUZUKI","Car","M",23,"22-25","Drivers"
"T20190014680","6/8/19",08:00:00,"Collision with vehicle","Tuesday","Day",2,2,"Cross intersection",3,60,"A",2017,"UTIL","MITSUB","Utility","M",51,"50-59","Drivers"
"T20190014680","6/8/19",08:00:00,"Collision with vehicle","Tuesday","Day",2,2,"Cross intersection",3,60,"B",2008,"WAGON","MAZDA","Car","F",28,"26-29","Drivers"
"T20190014681","6/8/19",09:11:00,"Collision with vehicle","Tuesday","Day",2,2,"Not at intersection",3,60,"A",2015,"WAGON","HONDA","Station Wagon","F",39,"30-39","Drivers"
"T20190014681","6/8/19",09:11:00,"Collision with vehicle","Tuesday","Day",2,2,"Not at intersection",3,60,"B",2016,"SEDAN","KIA","Car","F",20,"17-21","Drivers"
"T20190014682","6/8/19",10:30:00,"Collision with vehicle","Tuesday","Day",2,3,"T intersection",3,80,"A",2000,"COUPE","TOYOTA","Car","M",34,"30-39","Drivers"
"T20190014682","6/8/19",10:30:00,"Collision with vehicle","Tuesday","Day",2,3,"T intersection",3,80,"B",2017,"DC UTE","MITSUB","Utility","M",40,"40-49","Drivers"
"T20190014683","6/8/19",10:15:00,"Struck Pedestrian","Tuesday","Day",2,4,"Not at intersection",3,50,"A",2010,"WAGON","NISSAN","Station Wagon","F",70,"70+","Drivers"
"T20190014683","6/8/19",10:15:00,"Struck Pedestrian","Tuesday","Day",2,4,"Not at intersection",3,50,"B",2015,"WAGON","FORD","Station Wagon","F",61,"60-64","Drivers"
"T20190014685","1/7/19",09:15:00,"Collision with vehicle","Monday","Day",2,2,"Cross intersection",3,999,"A",2011,"SEDAN","MAZDA","Car","F",26,"26-29","Drivers"
"T20190014685","1/7/19",09:15:00,"Collision with vehicle","Monday","Day",2,2,"Cross intersection",3,999,"B",2015,"SEDAN","MITSUB","Car","M",31,"30-39","Drivers"
"T20190014688","6/8/19",06:45:00,"Struck Pedestrian","Tuesday","Dark Street lights on",1,2,"Cross intersection",3,60,"A",2016,"VAN","TOYOTA","Panel Van","M",29,"26-29","Drivers"
"T20190014689","5/8/19",10:00:00,"Collision with vehicle","Monday","Day",2,2,"Cross intersection",3,70,"A",2008,"SEDAN","HOLDEN","Car","M",31,"30-39","Drivers"
"T20190014689","5/8/19",10:00:00,"Collision with vehicle","Monday","Day",2,2,"Cross intersection",3,70,"B",1987,"UTIL","TOYOTA","Utility","F",33,"30-39","Drivers"
"T20190014690","4/8/19",13:30:00,"Collision with vehicle","Sunday","Day",2,2,"Not at intersection",3,80,"A",2009,"SEDAN","SUZUKI","Car","F",26,"26-29","Drivers"
"T20190014690","4/8/19",13:30:00,"Collision with vehicle","Sunday","Day",2,2,"Not at intersection",3,80,"B",2003,"SEDAN","HOLDEN","Car","M",38,"30-39","Drivers"
"T20190014691","29/7/19",16:50:00,"Collision with vehicle","Monday","Day",2,2,"Not at intersection",3,100,"B",1990,"SEDAN","FORD","Car","F",72,"70+","Drivers"
"T20190014691","29/7/19",16:50:00,"Collision with vehicle","Monday","Day",2,2,"Not at intersection",3,100,"C",2005,"WAGON","TOYOTA","Station Wagon","M",68,"64-69","Drivers"
"T20190014692","6/8/19",08:05:00,"Vehicle overturned (no collision)","Tuesday","Day",1,1,"Not at intersection",2,100,"A",2006,"SEDAN","B M W","Car","F",20,"17-21","Drivers"
"T20190014693","2/8/19",09:55:00,"Vehicle overturned (no collision)","Friday","Day",2,2,"Not at intersection",3,999,"A",2013,"SEDAN","HOLDEN","Car","M",31,"30-39","Drivers"
"T20190014696","6/8/19",12:29:00,"Collision with vehicle","Tuesday","Day",2,2,"T intersection",3,100,"A",0,"S WAG","TOYOTA","Station Wagon","M",45,"40-49","Drivers"
"T20190014696","6/8/19",12:29:00,"Collision with vehicle","Tuesday","Day",2,2,"T intersection",3,100,"B",2017,"P MVR","KENWTH","Prime Mover - Single Trailer","M",56,"50-59","Drivers"
"T20190014697","13/5/19",09:45:00,"Collision with vehicle","Monday","Day",2,2,"Cross intersection",3,60,"A",2018,"SEDAN","KIA","Car","F",58,"50-59","Drivers"
"T20190014697","13/5/19",09:45:00,"Collision with vehicle","Monday","Day",2,2,"Cross intersection",3,60,"B",2007,"SEDAN","TOYOTA","Car","F",32,"30-39","Drivers"
"T20190014700","11/7/19",16:20:00,"Collision with vehicle","Thursday","Day",2,2,"Not at intersection",3,40,"A",2016,"WAGON","FORD","Station Wagon","M",56,"50-59","Drivers"
"T20190014700","11/7/19",16:20:00,"Collision with vehicle","Thursday","Day",2,2,"Not at intersection",3,40,"B",2001,"UTIL","FORD","Utility","M",49,"40-49","Drivers"
"T20190014703","6/8/19",15:20:00,"Collision with vehicle","Tuesday","Day",2,2,"T intersection",3,80,"A",2012,"SEDAN","MAZDA","Car","F",21,"17-21","Drivers"
"T20190014703","6/8/19",15:20:00,"Collision with vehicle","Tuesday","Day",2,2,"T intersection",3,80,"B",2015,"SEDAN","TOYOTA","Car","F",54,"50-59","Drivers"
"T20190014704","6/8/19",15:50:00,"Collision with a fixed object","Tuesday","Day",1,1,"Not at intersection",3,100,"A",2009,"SEDAN","HOLDEN","Car","F",20,"17-21","Drivers"
"T20190014706","6/8/19",14:30:00,"Vehicle overturned (no collision)","Tuesday","Day",1,1,"Cross intersection",3,80,"A",2015,"SKIP C","DAF","Heavy Vehicle (Rigid) > 4.5 Tonnes","M",47,"40-49","Drivers"
"T20190014709","6/8/19",17:25:00,"Collision with vehicle","Tuesday","Dark Street lights on",2,2,"T intersection",3,60,"A",2001,"SEDAN","FORD","Car","F",78,"70+","Drivers"
"T20190014711","6/8/19",15:20:00,"Collision with vehicle","Tuesday","Day",2,2,"T intersection",3,50,"A",2018,"SEDAN","HOLDEN","Car","M",41,"40-49","Drivers"
"T20190014711","6/8/19",15:20:00,"Collision with vehicle","Tuesday","Day",2,2,"T intersection",3,50,"B",2013,"SEDAN","MAZDA","Car","M",52,"50-59","Drivers"
"T20190014712","6/8/19",17:00:00,"Struck Pedestrian","Tuesday","Day",1,2,"T intersection",3,50,"A",2017,"COUPE","FIAT","Car","M",34,"30-39","Drivers"
"T20190014716","25/7/19",16:56:00,"Collision with vehicle","Thursday","Day",2,2,"Not at intersection",3,40,"A",2016,"S WAG","HOLDEN","Station Wagon","F",36,"30-39","Drivers"
"T20190014716","25/7/19",16:56:00,"Collision with vehicle","Thursday","Day",2,2,"Not at intersection",3,40,"B",2005,"SEDAN","TOYOTA","Car","U",18,"17-21","Drivers"
"T20190014717","6/8/19",18:30:00,"Collision with vehicle","Tuesday","Dark No street lights",2,3,"Cross intersection",3,80,"B",2010,"SEDAN","TOYOTA","Car","M",56,"50-59","Drivers"
"T20190014717","6/8/19",18:30:00,"Collision with vehicle","Tuesday","Dark No street lights",2,3,"Cross intersection",3,80,"C",2010,"SEDAN","HOLDEN","Car","F",36,"30-39","Drivers"
"T20190014718","6/8/19",16:18:00,"Collision with vehicle","Tuesday","Day",2,2,"Not at intersection",2,80,"A",2009,"WAGON","TOYOTA","Station Wagon","F",38,"30-39","Drivers"
"T20190014718","6/8/19",16:18:00,"Collision with vehicle","Tuesday","Day",2,2,"Not at intersection",2,80,"B",2000,"SEDAN","NISSAN","Car","M",48,"40-49","Drivers"
"T20190014720","6/8/19",15:40:00,"Collision with a fixed object","Tuesday","Day",1,1,"Not at intersection",3,100,"A",1989,"TRAY","ISUZU","Light Commercial Vehicle (Rigid) <= 4.5 Tonnes GVM","M",43,"40-49","Drivers"
"T20190014724","6/8/19",14:00:00,"Collision with a fixed object","Tuesday","Day",1,1,"T intersection",2,70,"A",2001,"SEDAN","TOYOTA","Car","M",62,"60-64","Drivers"
"T20190014725","6/8/19",16:30:00,"Collision with vehicle","Tuesday","Day",2,3,"Cross intersection",3,50,"A",2004,"DC UTE","TOYOTA","Utility","M",38,"30-39","Drivers"
"T20190014725","6/8/19",16:30:00,"Collision with vehicle","Tuesday","Day",2,3,"Cross intersection",3,50,"B",2016,"SEDAN","UNKN","Car","M",73,"70+","Drivers"
"T20190014726","10/7/19",14:00:00,"Collision with vehicle","Wednesday","Day",4,4,"Not at intersection",3,60,"A",2011,"COUPE","AUDI","Car","F",32,"30-39","Drivers"
"T20190014726","10/7/19",14:00:00,"Collision with vehicle","Wednesday","Day",4,4,"Not at intersection",3,60,"B",2011,"SEDAN","HOLDEN","Car","M",25,"22-25","Drivers"
"T20190014726","10/7/19",14:00:00,"Collision with vehicle","Wednesday","Day",4,4,"Not at intersection",3,60,"C",2010,"SEDAN","HOLDEN","Car","F",37,"30-39","Drivers"
"T20190014726","10/7/19",14:00:00,"Collision with vehicle","Wednesday","Day",4,4,"Not at intersection",3,60,"D",2010,"SEDAN","KIA","Car","M",23,"22-25","Drivers"
"T20190014727","30/7/19",19:25:00,"Collision with vehicle","Tuesday","Dusk/Dawn",2,2,"Cross intersection",3,60,"A",2017,"SEDAN","MITSUB","Car","F",53,"50-59","Drivers"
"T20190014730","6/8/19",15:30:00,"Struck Pedestrian","Tuesday","Day",2,3,"Cross intersection",3,60,"A",2014,"WAGON","MAZDA","Station Wagon","F",48,"40-49","Drivers"
"T20190014730","6/8/19",15:30:00,"Struck Pedestrian","Tuesday","Day",2,3,"Cross intersection",3,60,"B",2018,"UTIL","TOYOTA","Utility","M",33,"30-39","Drivers"
"T20190014731","6/8/19",19:30:00,"Collision with vehicle","Tuesday","Dark Street lights on",2,1,"Cross intersection",3,70,"A",2006,"WAGON","NISSAN","Station Wagon","M",23,"22-25","Drivers"
"T20190014732","12/7/19",13:00:00,"Collision with vehicle","Friday","Day",2,2,"T intersection",3,60,"A",2005,"SEDAN","TOYOTA","Car","F",84,"70+","Drivers"
"T20190014732","12/7/19",13:00:00,"Collision with vehicle","Friday","Day",2,2,"T intersection",3,60,"B",0,"SEDAN","UNKN","Car","U",NA,"unknown","Drivers"
"T20190014733","18/7/19",12:30:00,"Collision with vehicle","Thursday","Day",2,2,"T intersection",3,999,"A",2014,"SEDAN","B M W","Car","M",48,"40-49","Drivers"
"T20190014733","18/7/19",12:30:00,"Collision with vehicle","Thursday","Day",2,2,"T intersection",3,999,"B",0,"S WAG","TOYOTA","Station Wagon","M",32,"30-39","Drivers"
"T20190014735","6/8/19",16:45:00,"Collision with vehicle","Tuesday","Day",2,2,"T intersection",3,60,"A",2010,"SEDAN","HYNDAI","Car","F",64,"60-64","Drivers"
"T20190014735","6/8/19",16:45:00,"Collision with vehicle","Tuesday","Day",2,2,"T intersection",3,60,"B",2014,"WAGON","NISSAN","Station Wagon","F",30,"30-39","Drivers"
"T20190014736","6/8/19",21:55:00,"Struck Pedestrian","Tuesday","Dark Street lights on",1,3,"T intersection",3,50,"A",2011,"SEDAN","HOLDEN","Car","M",28,"26-29","Drivers"
"T20190014737","6/8/19",20:15:00,"Collision with vehicle","Tuesday","Dark Street lights on",6,4,"Cross intersection",3,60,"A",2003,"SEDAN","PEUG","Car","F",37,"30-39","Drivers"
