"ACCIDENT_NO","ACCIDENTDATE","ACCIDENTTIME","Accident Type Desc","Day Week Description","Light Condition Desc","NO_OF_VEHICLES","NO_PERSONS","Road Geometry Desc","SEVERITY","SPEED_ZONE","LGA_NAME","REGION_NAME","Lat","Long","Surface Cond Desc","Atmosph Cond Desc"
"T20190000226","4/1/19",14:45:00,"Struck Pedestrian","Friday","Day",1,3,"Not at intersection",2,50,"MORNINGTON PENINSULA","METROPOLITAN SOUTH EAST REGION",-38.3384625,144.7435801,"Dry","Clear"
"T20190000227","4/1/19",09:45:00,"Collision with vehicle","Friday","Day",2,2,"T intersection",3,60,"WYNDHAM","METROPOLITAN NORTH WEST REGION",-37.83621485,144.7088022,"Dry","Clear"
"T20190000231","5/1/19",09:30:00,"Collision with vehicle","Saturday","Day",2,2,"Not at intersection",3,60,"PORT PHILLIP","METROPOLITAN NORTH WEST REGION",-37.87652967,144.9922708,"Dry","Clear"
"T20190000232","5/1/19",10:35:00,"Collision with vehicle","Saturday","Day",2,2,"Not at intersection",2,80,"LATROBE","EASTERN REGION",-38.23967031,146.4197395,"Dry","Clear"
"T20190000234","5/1/19",11:10:00,"Collision with vehicle","Saturday","Day",2,2,"Cross intersection",3,60,"BOROONDARA","METROPOLITAN SOUTH EAST REGION",-37.79912163,145.0303172,"Dry","Clear"
"T20190000235","4/1/19",16:00:00,"Collision with vehicle","Friday","Day",3,3,"Not at intersection",3,80,"FRANKSTON","METROPOLITAN SOUTH EAST REGION",-38.11935816,145.2116004,"Dry","Clear"
"T20190000238","5/1/19",09:45:00,"Collision with vehicle","Saturday","Day",2,2,"T intersection",3,60,"WHITEHORSE","METROPOLITAN SOUTH EAST REGION",-37.84238337,145.1341182,"Dry","Clear"
"T20190000239","5/1/19",12:40:00,"Collision with a fixed object","Saturday","Day",1,3,"Not at intersection",3,60,"CARDINIA","METROPOLITAN SOUTH EAST REGION",-37.92256669,145.4435999,"Wet","Raining"
"T20190000241","5/1/19",01:20:00,"collision with some other object","Saturday","Dark Street lights unknown",1,1,"Not at intersection",3,80,"NILLUMBIK","METROPOLITAN NORTH WEST REGION",-37.71376196,145.2230281,"Wet","Raining"
"T20190000242","5/1/19",13:15:00,"Collision with vehicle","Saturday","Day",2,3,"Cross intersection",2,60,"KINGSTON","METROPOLITAN SOUTH EAST REGION",-37.96566503,145.0577947,"Wet","Raining"
"T20190000245","5/1/19",13:00:00,"Collision with vehicle","Saturday","Day",2,7,"T intersection",3,100,"GEELONG","SOUTH WESTERN REGION",-38.26096115,144.6088335,"Dry","Clear"
"T20190000247","5/1/19",13:30:00,"Collision with vehicle","Saturday","Day",2,4,"T intersection",3,60,"WHITEHORSE","METROPOLITAN SOUTH EAST REGION",-37.82851312,145.1197695,"Wet","Clear"
"T20190000254","5/1/19",14:10:00,"Collision with vehicle","Saturday","Day",3,3,"T intersection",3,60,"MONASH","METROPOLITAN SOUTH EAST REGION",-37.86896291,145.1490091,"Dry","Clear"
"T20190000255","3/1/19",19:45:00,"Collision with a fixed object","Thursday","Day",1,1,"T intersection",3,60,"MORNINGTON PENINSULA","METROPOLITAN SOUTH EAST REGION",-38.3777751,145.0264435,"Dry","Clear"
"T20190000256","5/1/19",15:04:00,"Collision with vehicle","Saturday","Day",3,4,"T intersection",3,60,"MORELAND","METROPOLITAN NORTH WEST REGION",-37.69957137,144.9150499,"Dry","Clear"
"T20190000257","5/1/19",14:43:00,"Collision with vehicle","Saturday","Day",2,2,"Not at intersection",3,60,"GLEN EIRA","METROPOLITAN SOUTH EAST REGION",-37.89015952,145.0449622,"Dry","Clear"
"T20190000260","5/1/19",16:01:00,"Collision with vehicle","Saturday","Dusk/Dawn",2,2,"Cross intersection",3,60,"BALLARAT","WESTERN REGION",-37.56994637,143.8705745,"Dry","Clear"
"T20190000262","4/1/19",19:00:00,"Collision with vehicle","Friday","Day",2,2,"Cross intersection",3,80,"FRANKSTON","METROPOLITAN SOUTH EAST REGION",-38.1094275,145.1613093,"Dry","Clear"
"T20190000263","3/1/19",17:00:00,"Collision with vehicle","Thursday","Unknown",2,2,"T intersection",3,50,"KINGSTON","METROPOLITAN SOUTH EAST REGION",-37.92961223,145.1275834,"Unknown","Not known"
"T20190000264","5/1/19",14:50:00,"Collision with vehicle","Saturday","Day",2,6,"Cross intersection",3,60,"BENDIGO","NORTHERN REGION",-36.7869441,144.5019971,"Dry","Clear"
"T20190000265","5/1/19",12:48:00,"Collision with vehicle","Saturday","Day",2,3,"Not at intersection",3,80,"COLAC OTWAY","SOUTH WESTERN REGION",-38.74684867,143.2783102,"Dry","Clear"
"T20190000268","3/1/19",23:10:00,"Collision with vehicle","Thursday","Dark No street lights",2,4,"Not at intersection",3,100,"COLAC OTWAY","SOUTH WESTERN REGION",-38.77884811,143.6209707,"Dry","Clear"
"T20190000270","5/1/19",17:20:00,"Vehicle overturned (no collision)","Saturday","Day",1,2,"Not at intersection",2,100,"PYRENEES","WESTERN REGION",-37.19694154,143.3252595,"Dry","Clear"
"T20190000273","5/1/19",17:52:00,"Collision with vehicle","Saturday","Day",3,6,"T intersection",3,80,"NILLUMBIK","METROPOLITAN NORTH WEST REGION",-37.58812112,145.1412902,"Dry","Clear"
"T20190000276","4/1/19",15:45:00,"Collision with vehicle","Friday","Day",2,3,"T intersection",3,80,"MONASH","METROPOLITAN SOUTH EAST REGION",-37.92463475,145.1436346,"Dry","Clear"
"T20190000280","5/1/19",19:05:00,"Collision with vehicle","Saturday","Day",2,6,"Cross intersection",2,80,"KNOX","METROPOLITAN SOUTH EAST REGION",-37.88874381,145.294715,"Dry","Clear"
"T20190000281","5/1/19",19:20:00,"Struck Pedestrian","Saturday","Day",1,4,"Cross intersection",3,60,"MELBOURNE","METROPOLITAN NORTH WEST REGION",-37.80439483,144.9617822,"Dry","Clear"
"T20190000282","5/1/19",16:00:00,"Collision with vehicle","Saturday","Day",2,2,"Not at intersection",3,50,"DAREBIN","METROPOLITAN NORTH WEST REGION",-37.73641988,144.9903289,"Dry","Clear"
"T20190000283","5/1/19",20:05:00,"Collision with a fixed object","Saturday","Dusk/Dawn",1,1,"Not at intersection",2,80,"YARRA RANGES","METROPOLITAN SOUTH EAST REGION",-37.9610308,145.3600396,"Dry","Clear"
"T20190000285","5/1/19",00:10:00,"Collision with vehicle","Saturday","Dark Street lights on",2,2,"Cross intersection",3,70,"GLEN EIRA","METROPOLITAN SOUTH EAST REGION",-37.86041556,145.0104878,"Wet","Raining"
