"ACCIDENT_NO","ACCIDENTDATE","ACCIDENTTIME","Accident Type Desc","Day Week Description","Light Condition Desc","NO_OF_VEHICLES","NO_PERSONS","Road Geometry Desc","SEVERITY","SPEED_ZONE","LGA_NAME","REGION_NAME","Lat","Long","Surface Cond Desc","Atmosph Cond Desc"
"T20190014939","9/8/19",09:19:00,"Collision with vehicle","Friday","Day",2,2,"Not at intersection",3,30,"MARIBYRNONG","METROPOLITAN NORTH WEST REGION",-37.79614278,144.8748844,"Dry","Strong winds"
"T20190014940","7/8/19",16:45:00,"Collision with vehicle","Wednesday","Day",2,2,"Not at intersection",3,70,"MORELAND","METROPOLITAN NORTH WEST REGION",-37.71495516,144.9620274,"Dry","Clear"
"T20190014942","9/8/19",10:55:00,"Collision with vehicle","Friday","Day",2,6,"T intersection",3,60,"WYNDHAM","METROPOLITAN NORTH WEST REGION",-37.89467869,144.6347054,"Wet","Clear"
"T20190014945","9/8/19",11:22:00,"Collision with vehicle","Friday","Day",2,3,"Cross intersection",3,60,"DAREBIN","METROPOLITAN NORTH WEST REGION",-37.7638778,145.0053872,"Dry","Clear"
"T20190014946","9/8/19",05:50:00,"Collision with vehicle","Friday","Dark Street lights unknown",2,2,"Cross intersection",3,999,"BRIMBANK","METROPOLITAN NORTH WEST REGION",-37.8152839,144.8090442,"Wet","Raining"
"T20190014947","4/8/19",14:30:00,"Struck animal","Sunday","Day",1,1,"Not at intersection",3,50,"HOBSONS BAY","METROPOLITAN NORTH WEST REGION",-37.86238673,144.8242246,"Dry","Clear"
"T20190014948","8/8/19",07:50:00,"Collision with vehicle","Thursday","Unknown",2,2,"Cross intersection",3,999,"MELBOURNE","METROPOLITAN NORTH WEST REGION",-37.81609518,144.9826136,"Unknown","Not known"
"T20190014951","9/8/19",11:57:00,"Collision with vehicle","Friday","Day",4,4,"Not at intersection",3,80,"CARDINIA","METROPOLITAN SOUTH EAST REGION",-38.11377794,145.4856183,"Wet","Raining"
"T20190014952","30/6/19",21:10:00,"Collision with a fixed object","Sunday","Dark No street lights",1,1,"Not at intersection",3,60,"WYNDHAM","METROPOLITAN NORTH WEST REGION",-37.8223356,144.7191055,"Wet","Clear"
"T20190014954","8/8/19",15:00:00,"Collision with vehicle","Thursday","Day",2,3,"T intersection",3,999,"BRIMBANK","METROPOLITAN NORTH WEST REGION",-37.79065375,144.8452743,"Unknown","Clear"
"T20190014956","5/7/19",17:00:00,"Collision with vehicle","Friday","Dusk/Dawn",2,2,"Cross intersection",3,50,"SWAN HILL","NORTHERN REGION",-35.33497789,143.5584131,"Dry","Not known"
"T20190014958","9/8/19",13:50:00,"Struck Pedestrian","Friday","Day",1,2,"Multiple intersection",2,50,"MARIBYRNONG","METROPOLITAN NORTH WEST REGION",-37.78175228,144.8703949,"Wet","Raining"
"T20190014959","9/8/19",08:08:00,"Collision with a fixed object","Friday","Day",1,1,"Not at intersection",3,100,"SOUTHERN GRAMPIANS","SOUTH WESTERN REGION",-37.33014299,141.6827159,"Wet","Raining"
"T20190014959","9/8/19",08:08:00,"Collision with a fixed object","Friday","Day",1,1,"Not at intersection",3,100,"SOUTHERN GRAMPIANS","SOUTH WESTERN REGION",-37.33014299,141.6827159,"Wet","Strong winds"
"T20190014960","10/7/19",10:02:00,"Collision with vehicle","Wednesday","Day",2,2,"Not at intersection",3,50,"BAYSIDE","METROPOLITAN SOUTH EAST REGION",-37.96046621,145.0192906,"Dry","Clear"
"T20190014961","9/8/19",14:00:00,"Collision with vehicle","Friday","Day",2,6,"Not at intersection",3,100,"BRIMBANK","METROPOLITAN NORTH WEST REGION",-37.78638963,144.7889059,"Wet","Not known"
"T20190014962","9/8/19",13:40:00,"Collision with vehicle","Friday","Day",2,2,"Not at intersection",2,60,"BALLARAT","WESTERN REGION",-37.5563702,143.8472378,"Wet","Not known"
"T20190014963","9/8/19",01:00:00,"collision with some other object","Friday","Dark No street lights",1,1,"Not at intersection",3,100,"MOIRA","NORTH EASTERN REGION",-36.0753751,145.2038737,"Wet","Raining"
"T20190014963","9/8/19",01:00:00,"collision with some other object","Friday","Dark No street lights",1,1,"Not at intersection",3,100,"MOIRA","NORTH EASTERN REGION",-36.0753751,145.2038737,"Wet","Strong winds"
"T20190014964","9/8/19",11:30:00,"Collision with vehicle","Friday","Day",4,2,"Not at intersection",2,60,"GLEN EIRA","METROPOLITAN SOUTH EAST REGION",-37.91664541,145.0236809,"Wet","Clear"
"T20190014964","9/8/19",11:30:00,"Collision with vehicle","Friday","Day",4,2,"Not at intersection",2,60,"GLEN EIRA","METROPOLITAN SOUTH EAST REGION",-37.91664541,145.0236809,"Wet","Strong winds"
"T20190014965","9/8/19",15:33:00,"Collision with vehicle","Friday","Day",2,2,"T intersection",3,60,"WODONGA","NORTH EASTERN REGION",-36.11681683,146.8906009,"Wet","Raining"
"T20190014965","9/8/19",15:33:00,"Collision with vehicle","Friday","Day",2,2,"T intersection",3,60,"WODONGA","NORTH EASTERN REGION",-36.11681683,146.8906009,"Wet","Strong winds"
"T20190014966","2/8/19",05:30:00,"No collision and no object struck","Friday","Dark No street lights",1,1,"Not at intersection",3,60,"MITCHELL","NORTHERN REGION",-37.41756689,144.9760746,"Wet","Clear"
"T20190014969","9/8/19",15:00:00,"Collision with a fixed object","Friday","Day",1,2,"Cross intersection",3,60,"WHITTLESEA","METROPOLITAN NORTH WEST REGION",-37.68959584,145.0278027,"Wet","Raining"
"T20190014973","9/8/19",15:32:00,"Collision with vehicle","Friday","Day",2,4,"T intersection",3,70,"MONASH","METROPOLITAN SOUTH EAST REGION",-37.87645837,145.1858706,"Dry","Clear"
"T20190014974","3/8/19",10:00:00,"Vehicle overturned (no collision)","Saturday","Day",1,1,"T intersection",3,100,"CENTRAL GOLDFIELDS","WESTERN REGION",-36.82302575,143.6808749,"Dry","Clear"
"T20190014976","9/8/19",15:35:00,"Collision with a fixed object","Friday","Day",1,1,"Not at intersection",3,100,"MOYNE","SOUTH WESTERN REGION",-38.30736617,142.0431996,"Wet","Raining"
"T20190014976","9/8/19",15:35:00,"Collision with a fixed object","Friday","Day",1,1,"Not at intersection",3,100,"MOYNE","SOUTH WESTERN REGION",-38.30736617,142.0431996,"Wet","Strong winds"
"T20190014979","9/8/19",17:35:00,"Collision with vehicle","Friday","Dark Street lights on",3,3,"Not at intersection",3,40,"MELBOURNE","METROPOLITAN NORTH WEST REGION",-37.81438976,144.9626691,"Dry","Clear"
"T20190014981","9/8/19",15:40:00,"Collision with vehicle","Friday","Day",2,4,"Cross intersection",3,40,"PORT PHILLIP","METROPOLITAN NORTH WEST REGION",-37.83897823,144.9474858,"Dry","Clear"
"T20190014982","9/8/19",17:36:00,"Collision with vehicle","Friday","Dark No street lights",2,3,"T intersection",3,100,"LATROBE","EASTERN REGION",-38.29769801,146.4175517,"Wet","Raining"
"T20190014982","9/8/19",17:36:00,"Collision with vehicle","Friday","Dark No street lights",2,3,"T intersection",3,100,"LATROBE","EASTERN REGION",-38.29769801,146.4175517,"Wet","Strong winds"
"T20190014985","9/8/19",06:45:00,"Vehicle overturned (no collision)","Friday","Dusk/Dawn",1,1,"Cross intersection",3,60,"GEELONG","SOUTH WESTERN REGION",-38.20358009,144.331075,"Wet","Raining"
"T20190014993","9/8/19",18:36:00,"Collision with vehicle","Friday","Dark Street lights on",2,3,"Not at intersection",3,100,"HOBSONS BAY","METROPOLITAN NORTH WEST REGION",-37.86952874,144.755211,"Dry","Clear"
"T20190014994","9/8/19",18:55:00,"Collision with vehicle","Friday","Dark Street lights on",2,2,"Cross intersection",3,100,"MACEDON RANGES","NORTHERN REGION",-37.45323948,144.74297,"Dry","Clear"
"T20190014995","9/8/19",18:05:00,"Struck Pedestrian","Friday","Dark Street lights on",1,2,"Cross intersection",3,60,"WELLINGTON","EASTERN REGION",-38.11142154,147.0684336,"Wet","Raining"
"T20190014995","9/8/19",18:05:00,"Struck Pedestrian","Friday","Dark Street lights on",1,2,"Cross intersection",3,60,"WELLINGTON","EASTERN REGION",-38.11142154,147.0684336,"Wet","Strong winds"
"T20190014995","9/8/19",18:05:00,"Struck Pedestrian","Friday","Dark Street lights on",1,2,"Cross intersection",3,60,"WELLINGTON","EASTERN REGION",-38.11142154,147.0684336,"Icy","Raining"
"T20190014995","9/8/19",18:05:00,"Struck Pedestrian","Friday","Dark Street lights on",1,2,"Cross intersection",3,60,"WELLINGTON","EASTERN REGION",-38.11142154,147.0684336,"Icy","Strong winds"
"T20190014997","9/8/19",17:15:00,"Collision with vehicle","Friday","Day",2,5,"T intersection",3,100,"MILDURA","WESTERN REGION",-34.26062677,142.1803105,"Dry","Clear"
"T20190015000","9/8/19",18:30:00,"Other accident","Friday","Unknown",1,1,"Not at intersection",3,999,"CARDINIA","METROPOLITAN SOUTH EAST REGION",-38.16623813,145.5443071,"Unknown","Not known"
"T20190015002","9/8/19",21:08:00,"Collision with vehicle","Friday","Dark Street lights on",2,3,"Not at intersection",3,80,"KNOX","METROPOLITAN SOUTH EAST REGION",-37.84367942,145.2473269,"Wet","Clear"
"T20190015003","9/8/19",22:20:00,"Collision with a fixed object","Friday","Dark Street lights on",1,2,"Not at intersection",3,70,"GEELONG","SOUTH WESTERN REGION",-38.11236755,144.3543009,"Dry","Clear"
"T20190015004","10/8/19",00:30:00,"Collision with a fixed object","Saturday","Dark Street lights on",1,1,"Not at intersection",2,80,"MOIRA","NORTH EASTERN REGION",-35.92468229,145.6467678,"Dry","Clear"
"T20190015007","10/8/19",00:29:00,"Struck Pedestrian","Saturday","Dark Street lights on",2,3,"Cross intersection",3,40,"STONNINGTON","METROPOLITAN SOUTH EAST REGION",-37.85185034,144.9933711,"Dry","Clear"
"T20190015010","9/8/19",23:55:00,"Collision with a fixed object","Friday","Dark Street lights on",1,1,"Not at intersection",2,70,"WHITTLESEA","METROPOLITAN NORTH WEST REGION",-37.65011085,145.0053626,"Dry","Clear"
"T20190015011","10/8/19",01:30:00,"Collision with vehicle","Saturday","Dark Street lights on",2,2,"Not at intersection",3,40,"GEELONG","SOUTH WESTERN REGION",-38.14841273,144.3602228,"Dry","Clear"
"T20190015012","10/8/19",03:03:00,"Collision with vehicle","Saturday","Dark Street lights on",2,2,"Cross intersection",3,60,"MELBOURNE","METROPOLITAN NORTH WEST REGION",-37.8081631,144.951686,"Dry","Clear"
"T20190015013","9/8/19",21:30:00,"Collision with a fixed object","Friday","Dark No street lights",1,1,"Not at intersection",3,50,"GLENELG","SOUTH WESTERN REGION",-38.31196305,141.5947072,"Wet","Raining"
"T20190015013","9/8/19",21:30:00,"Collision with a fixed object","Friday","Dark No street lights",1,1,"Not at intersection",3,50,"GLENELG","SOUTH WESTERN REGION",-38.31196305,141.5947072,"Wet","Strong winds"
"T20190015016","10/8/19",05:38:00,"Collision with vehicle","Saturday","Dark Street lights on",2,10,"Cross intersection",3,80,"HUME","METROPOLITAN NORTH WEST REGION",-37.69247332,144.8660272,"Wet","Raining"
"T20190015017","10/8/19",08:30:00,"Collision with vehicle","Saturday","Day",2,2,"Cross intersection",3,60,"WHITEHORSE","METROPOLITAN SOUTH EAST REGION",-37.83752991,145.1114595,"Unknown","Not known"
"T20190015020","10/8/19",10:19:00,"Vehicle overturned (no collision)","Saturday","Day",1,1,"Not at intersection",3,50,"WODONGA","NORTH EASTERN REGION",-36.12548294,146.8881415,"Dry","Clear"
"T20190015022","25/7/19",17:00:00,"Collision with vehicle","Thursday","Dark Street lights on",2,4,"Cross intersection",3,60,"BANYULE","METROPOLITAN NORTH WEST REGION",-37.68677281,145.1429409,"Dry","Clear"
"T20190015024","10/8/19",08:05:00,"Collision with a fixed object","Saturday","Day",1,1,"Not at intersection",3,60,"WYNDHAM","METROPOLITAN NORTH WEST REGION",-37.89135407,144.6858482,"Wet","Raining"
"T20190015024","10/8/19",08:05:00,"Collision with a fixed object","Saturday","Day",1,1,"Not at intersection",3,60,"WYNDHAM","METROPOLITAN NORTH WEST REGION",-37.89135407,144.6858482,"Wet","Strong winds"
"T20190015027","10/8/19",12:00:00,"Collision with vehicle","Saturday","Day",2,2,"T intersection",3,50,"DAREBIN","METROPOLITAN NORTH WEST REGION",-37.71962949,145.0048297,"Wet","Clear"
"T20190015028","10/8/19",10:00:00,"Collision with a fixed object","Saturday","Day",1,1,"Not at intersection",3,80,"DANDENONG","METROPOLITAN SOUTH EAST REGION",-37.99126768,145.1473566,"Wet","Clear"
"T20190015028","10/8/19",10:00:00,"Collision with a fixed object","Saturday","Day",1,1,"Not at intersection",3,80,"DANDENONG","METROPOLITAN SOUTH EAST REGION",-37.99126768,145.1473566,"Wet","Strong winds"
"T20190015029","9/8/19",19:30:00,"Collision with vehicle","Friday","Dark Street lights unknown",2,2,"Not at intersection",3,50,"DANDENONG","METROPOLITAN SOUTH EAST REGION",-37.98513405,145.2165993,"Unknown","Not known"
"T20190015032","10/8/19",12:40:00,"Collision with a fixed object","Saturday","Day",1,1,"Cross intersection",3,60,"MORELAND","METROPOLITAN NORTH WEST REGION",-37.74968648,144.9463979,"Wet","Raining"
"T20190015032","10/8/19",12:40:00,"Collision with a fixed object","Saturday","Day",1,1,"Cross intersection",3,60,"MORELAND","METROPOLITAN NORTH WEST REGION",-37.74968648,144.9463979,"Wet","Strong winds"
"T20190015036","8/8/19",22:10:00,"Collision with vehicle","Thursday","Dark Street lights on",2,5,"Cross intersection",3,60,"MONASH","METROPOLITAN SOUTH EAST REGION",-37.8597694,145.1507537,"Wet","Raining"
"T20190015036","8/8/19",22:10:00,"Collision with vehicle","Thursday","Dark Street lights on",2,5,"Cross intersection",3,60,"MONASH","METROPOLITAN SOUTH EAST REGION",-37.8597694,145.1507537,"Wet","Strong winds"
"T20190015038","10/8/19",12:44:00,"Collision with a fixed object","Saturday","Day",1,1,"Not at intersection",3,999,"MAROONDAH","METROPOLITAN SOUTH EAST REGION",-37.79967687,145.2518043,"Wet","Raining"
"T20190015040","10/8/19",12:50:00,"Struck Pedestrian","Saturday","Day",1,3,"Not at intersection",2,40,"GEELONG","SOUTH WESTERN REGION",-38.15154053,144.3644527,"Dry","Clear"
"T20190015042","10/8/19",13:30:00,"Collision with vehicle","Saturday","Day",3,3,"Not at intersection",3,80,"MONASH","METROPOLITAN SOUTH EAST REGION",-37.91577874,145.1292166,"Wet","Clear"
"T20190015043","26/6/19",08:10:00,"Collision with vehicle","Wednesday","Day",2,2,"Not at intersection",3,50,"BENDIGO","NORTHERN REGION",-36.77775715,144.2398285,"Unknown","Not known"
"T20190015045","10/8/19",12:57:00,"Collision with vehicle","Saturday","Day",2,3,"Not at intersection",3,100,"SOUTH GIPPSLAND","EASTERN REGION",-38.30890687,145.6426231,"Wet","Not known"
"T20190015048","17/6/19",13:00:00,"Collision with vehicle","Monday","Day",2,2,"Not at intersection",3,80,"MANNINGHAM","METROPOLITAN SOUTH EAST REGION",-37.80303591,145.1780373,"Dry","Clear"
"T20190015049","10/8/19",16:55:00,"Struck Pedestrian","Saturday","Day",1,2,"Not at intersection",3,50,"MOIRA","NORTH EASTERN REGION",-36.01401894,146.0044221,"Wet","Clear"
"T20190015051","9/8/19",19:40:00,"Collision with a fixed object","Friday","Dark No street lights",1,3,"Not at intersection",3,80,"YARRA RANGES","METROPOLITAN SOUTH EAST REGION",-37.7187116,145.460269,"Wet","Raining"
"T20190015052","10/8/19",15:42:00,"Collision with vehicle","Saturday","Day",2,9,"T intersection",3,60,"MONASH","METROPOLITAN SOUTH EAST REGION",-37.88601263,145.1394078,"Wet","Strong winds"
"T20190015053","17/4/19",10:00:00,"Collision with vehicle","Wednesday","Day",2,2,"Not at intersection",3,60,"WYNDHAM","METROPOLITAN NORTH WEST REGION",-37.90707678,144.6722828,"Unknown","Not known"
"T20190015056","10/8/19",18:45:00,"Collision with vehicle","Saturday","Dark Street lights on",2,3,"T intersection",3,60,"MONASH","METROPOLITAN SOUTH EAST REGION",-37.90006811,145.1055641,"Dry","Clear"
"T20190015057","10/8/19",17:57:00,"Collision with vehicle","Saturday","Day",3,2,"T intersection",3,60,"WHITEHORSE","METROPOLITAN SOUTH EAST REGION",-37.83604881,145.1352987,"Dry","Clear"
"T20190015058","10/8/19",18:45:00,"Collision with vehicle","Saturday","Dark Street lights on",2,2,"Not at intersection",3,80,"MARIBYRNONG","METROPOLITAN NORTH WEST REGION",-37.80139306,144.8876838,"Wet","Clear"
"T20190015059","10/8/19",19:09:00,"Collision with vehicle","Saturday","Dark Street lights on",2,4,"Multiple intersection",3,60,"MELTON","METROPOLITAN NORTH WEST REGION",-37.68823037,144.567428,"Wet","Clear"
"T20190015061","10/8/19",20:20:00,"Collision with a fixed object","Saturday","Dark No street lights",1,1,"Not at intersection",3,100,"YARRA RANGES","METROPOLITAN SOUTH EAST REGION",-37.68488296,145.4804844,"Wet","Raining"
"T20190015062","10/8/19",15:07:00,"Struck Pedestrian","Saturday","Day",1,2,"Not at intersection",3,999,"MORELAND","METROPOLITAN NORTH WEST REGION",-37.7707865,144.9718248,"Wet","Clear"
"T20190015064","10/8/19",18:15:00,"Collision with vehicle","Saturday","Dark Street lights on",2,1,"T intersection",3,50,"DAREBIN","METROPOLITAN NORTH WEST REGION",-37.76598572,145.002379,"Wet","Clear"
"T20190015067","10/8/19",18:10:00,"Collision with vehicle","Saturday","Dark Street lights on",2,2,"Cross intersection",3,50,"DAREBIN","METROPOLITAN NORTH WEST REGION",-37.71257845,145.0028649,"Wet","Not known"
"T20190015069","10/8/19",19:15:00,"Collision with vehicle","Saturday","Dark No street lights",2,5,"Cross intersection",3,100,"MILDURA","WESTERN REGION",-34.13045262,142.0175871,"Dry","Clear"
"T20190015073","10/8/19",15:50:00,"Collision with vehicle","Saturday","Day",2,2,"Cross intersection",3,100,"LODDON","NORTHERN REGION",-36.75306719,143.77111,"Dry","Clear"
"T20190015074","10/8/19",22:47:00,"Struck Pedestrian","Saturday","Dark Street lights on",1,2,"T intersection",1,70,"MARIBYRNONG","METROPOLITAN NORTH WEST REGION",-37.77938314,144.8493146,"Wet","Raining"
"T20190015081","11/8/19",00:51:00,"Collision with a fixed object","Sunday","Dark No street lights",1,2,"Not at intersection",3,100,"MOORABOOL","WESTERN REGION",-37.55247083,143.9830855,"Snowy","Snowing"
"T20190015081","11/8/19",00:51:00,"Collision with a fixed object","Sunday","Dark No street lights",1,2,"Not at intersection",3,100,"MOORABOOL","WESTERN REGION",-37.55247083,143.9830855,"Icy","Snowing"
"T20190015082","15/7/19",15:45:00,"Collision with vehicle","Monday","Day",2,3,"Cross intersection",3,60,"MOONEE VALLEY","METROPOLITAN NORTH WEST REGION",-37.75470903,144.8965955,"Dry","Clear"
"T20190015083","11/8/19",01:50:00,"Collision with vehicle","Sunday","Dark Street lights on",2,1,"Not at intersection",3,60,"GEELONG","SOUTH WESTERN REGION",-38.08123801,144.3468017,"Wet","Not known"
"T20190015084","26/6/19",09:35:00,"Collision with vehicle","Wednesday","Day",2,2,"Not at intersection",3,888,"BOROONDARA","METROPOLITAN SOUTH EAST REGION",-37.82478466,145.0875339,"Dry","Clear"
"T20190015086","11/8/19",08:50:00,"Collision with vehicle","Sunday","Day",2,3,"Not at intersection",3,60,"GEELONG","SOUTH WESTERN REGION",-38.13299391,144.337854,"Dry","Clear"
"T20190015092","11/8/19",09:15:00,"Collision with vehicle","Sunday","Day",2,3,"T intersection",3,60,"MORELAND","METROPOLITAN NORTH WEST REGION",-37.77679268,144.9579272,"Wet","Clear"
"T20190015094","11/8/19",09:50:00,"Struck Pedestrian","Sunday","Day",1,2,"Not at intersection",3,50,"HUME","METROPOLITAN NORTH WEST REGION",-37.68717468,144.9274517,"Wet","Clear"
"T20190015099","11/8/19",08:10:00,"Collision with a fixed object","Sunday","Day",1,1,"Not at intersection",3,80,"MACEDON RANGES","NORTHERN REGION",-37.33628198,144.6044442,"Snowy","Snowing"
"T20190015099","11/8/19",08:10:00,"Collision with a fixed object","Sunday","Day",1,1,"Not at intersection",3,80,"MACEDON RANGES","NORTHERN REGION",-37.33628198,144.6044442,"Icy","Snowing"
"T20190015101","11/8/19",10:06:00,"Collision with vehicle","Sunday","Day",2,3,"Not at intersection",3,80,"ALPINE","NORTH EASTERN REGION",-36.59120347,146.7642643,"Dry","Clear"
"T20190015104","20/6/19",20:22:00,"Collision with vehicle","Thursday","Dark Street lights on",2,2,"Cross intersection",3,60,"CARDINIA","METROPOLITAN SOUTH EAST REGION",-38.06939371,145.4115283,"Wet","Clear"
"T20190015105","11/8/19",05:00:00,"Collision with a fixed object","Sunday","Dark No street lights",1,1,"Not at intersection",3,100,"TOWONG","NORTH EASTERN REGION",-36.15386875,147.4162801,"Wet","Raining"
"T20190015105","11/8/19",05:00:00,"Collision with a fixed object","Sunday","Dark No street lights",1,1,"Not at intersection",3,100,"TOWONG","NORTH EASTERN REGION",-36.15386875,147.4162801,"Wet","Fog"
"T20190015105","11/8/19",05:00:00,"Collision with a fixed object","Sunday","Dark No street lights",1,1,"Not at intersection",3,100,"TOWONG","NORTH EASTERN REGION",-36.15386875,147.4162801,"Wet","Strong winds"
"T20190015107","5/7/19",06:00:00,"Collision with vehicle","Friday","Dark No street lights",2,2,"Not at intersection",3,90,"DANDENONG","METROPOLITAN SOUTH EAST REGION",-38.07229494,145.1962412,"Dry","Fog"
"T20190015108","11/8/19",09:00:00,"Collision with a fixed object","Sunday","Day",1,2,"Cross intersection",3,60,"CASEY","METROPOLITAN SOUTH EAST REGION",-38.01752788,145.3462679,"Wet","Clear"
"T20190015110","3/5/19",20:52:00,"Collision with vehicle","Friday","Dark Street lights on",2,2,"Multiple intersection",3,60,"BRIMBANK","METROPOLITAN NORTH WEST REGION",-37.77696718,144.8287346,"Dry","Clear"
"T20190015111","11/8/19",12:50:00,"Collision with vehicle","Sunday","Day",2,5,"Cross intersection",3,70,"YARRA RANGES","METROPOLITAN SOUTH EAST REGION",-37.81084949,145.3403519,"Wet","Raining"
"T20190015112","10/8/19",19:42:00,"Collision with a fixed object","Saturday","Dark No street lights",1,1,"Not at intersection",3,70,"CARDINIA","METROPOLITAN SOUTH EAST REGION",-38.02362531,145.3826833,"Wet","Raining"
"T20190015114","11/8/19",15:17:00,"Vehicle overturned (no collision)","Sunday","Day",1,2,"Not at intersection",3,110,"PYRENEES","WESTERN REGION",-37.43984037,143.4820715,"Snowy","Snowing"
"T20190015114","11/8/19",15:17:00,"Vehicle overturned (no collision)","Sunday","Day",1,2,"Not at intersection",3,110,"PYRENEES","WESTERN REGION",-37.43984037,143.4820715,"Icy","Snowing"
"T20190015116","11/8/19",08:30:00,"Collision with a fixed object","Sunday","Day",1,1,"T intersection",3,100,"MACEDON RANGES","NORTHERN REGION",-37.34349154,144.5848584,"Snowy","Snowing"
"T20190015117","11/8/19",14:54:00,"Collision with vehicle","Sunday","Day",2,7,"Cross intersection",3,60,"MELBOURNE","METROPOLITAN NORTH WEST REGION",-37.82523064,144.9483525,"Wet","Raining"
"T20190015119","29/7/19",18:38:00,"Collision with vehicle","Monday","Unknown",2,2,"T intersection",3,999,"WYNDHAM","METROPOLITAN NORTH WEST REGION",-37.89313956,144.6562203,"Unknown","Not known"
"T20190015123","7/8/19",07:45:00,"Collision with vehicle","Wednesday","Day",3,3,"Not at intersection",3,80,"BRIMBANK","METROPOLITAN NORTH WEST REGION",-37.73807647,144.8511256,"Dry","Clear"
"T20190015125","11/8/19",19:35:00,"Collision with vehicle","Sunday","Dark Street lights on",2,4,"T intersection",3,100,"HUME","METROPOLITAN NORTH WEST REGION",-37.52580249,144.9477469,"Wet","Raining"
"T20190015125","11/8/19",19:35:00,"Collision with vehicle","Sunday","Dark Street lights on",2,4,"T intersection",3,100,"HUME","METROPOLITAN NORTH WEST REGION",-37.52580249,144.9477469,"Wet","Strong winds"
"T20190015129","11/8/19",16:15:00,"Collision with vehicle","Sunday","Day",2,8,"Cross intersection",1,80,"CASEY","METROPOLITAN SOUTH EAST REGION",-38.09825905,145.2832037,"Dry","Clear"
"T20190015135","11/8/19",21:01:00,"Collision with a fixed object","Sunday","Dark Street lights on",2,5,"Not at intersection",3,60,"LATROBE","EASTERN REGION",-38.17904002,146.2525568,"Dry","Clear"
"T20190015136","11/8/19",21:50:00,"Collision with vehicle","Sunday","Dark Street lights on",2,1,"Not at intersection",3,60,"GEELONG","SOUTH WESTERN REGION",-38.20273129,144.3465967,"Wet","Raining"
"T20190015138","11/8/19",21:32:00,"Collision with vehicle","Sunday","Dark Street lights on",2,4,"Not at intersection",2,60,"MOONEE VALLEY","METROPOLITAN NORTH WEST REGION",-37.7568099,144.9071585,"Wet","Raining"
"T20190015139","9/8/19",20:45:00,"Collision with vehicle","Friday","Dark Street lights unknown",2,2,"Not at intersection",3,999,"KNOX","METROPOLITAN SOUTH EAST REGION",-37.86053649,145.2670295,"Wet","Not known"
"T20190015144","26/7/19",08:50:00,"Collision with vehicle","Friday","Day",4,6,"Not at intersection",3,80,"BALLARAT","WESTERN REGION",-37.55845281,143.8182404,"Dry","Clear"
"T20190015145","12/8/19",05:30:00,"Vehicle overturned (no collision)","Monday","Dark No street lights",1,1,"Not at intersection",3,100,"SURF COAST","SOUTH WESTERN REGION",-38.23246196,144.0259156,"Wet","Raining"
"T20190015146","11/8/19",13:00:00,"Struck Pedestrian","Sunday","Day",1,5,"Not at intersection",2,60,"CASEY","METROPOLITAN SOUTH EAST REGION",-37.99601579,145.2319038,"Wet","Clear"
"T20190015148","11/8/19",21:30:00,"collision with some other object","Sunday","Dark No street lights",1,1,"Not at intersection",3,100,"BASS COAST","EASTERN REGION",-38.56920261,145.7162866,"Wet","Clear"
"T20190015149","12/8/19",08:00:00,"Collision with vehicle","Monday","Day",2,2,"Cross intersection",3,80,"WHITEHORSE","METROPOLITAN SOUTH EAST REGION",-37.81323751,145.1768291,"Wet","Clear"
"T20190015151","12/8/19",07:40:00,"Collision with a fixed object","Monday","Day",1,1,"Not at intersection",3,80,"LATROBE","EASTERN REGION",-38.18168664,146.3209429,"Wet","Raining"
"T20190015152","12/8/19",08:10:00,"Collision with vehicle","Monday","Day",2,4,"T intersection",3,60,"MONASH","METROPOLITAN SOUTH EAST REGION",-37.90973181,145.0871327,"Dry","Clear"
"T20190015153","12/8/19",09:38:00,"Collision with a fixed object","Monday","Day",1,1,"Not at intersection",3,80,"BRIMBANK","METROPOLITAN NORTH WEST REGION",-37.72021221,144.8404827,"Dry","Clear"
"T20190015154","4/8/19",21:50:00,"Collision with vehicle","Sunday","Dark Street lights on",2,2,"Not at intersection",3,100,"CASEY","METROPOLITAN SOUTH EAST REGION",-38.07675104,145.2397294,"Unknown","Not known"
"T20190015157","8/8/19",13:00:00,"Collision with a fixed object","Thursday","Day",1,1,"Not at intersection",3,80,"MONASH","METROPOLITAN SOUTH EAST REGION",-37.92037482,145.1743361,"Wet","Clear"
"T20190015160","13/7/19",14:00:00,"Collision with vehicle","Saturday","Day",2,4,"Cross intersection",3,50,"MARIBYRNONG","METROPOLITAN NORTH WEST REGION",-37.79118294,144.8895003,"Dry","Clear"
"T20190015161","7/8/19",19:45:00,"Collision with vehicle","Wednesday","Dark Street lights unknown",2,2,"T intersection",3,60,"MELBOURNE","METROPOLITAN SOUTH EAST REGION",-37.83249082,144.9877037,"Wet","Raining"
"T20190015165","12/8/19",08:00:00,"Struck Pedestrian","Monday","Day",1,2,"Cross intersection",3,50,"BOROONDARA","METROPOLITAN SOUTH EAST REGION",-37.82486181,145.0881772,"Unknown","Clear"
"T20190015171","9/8/19",19:00:00,"Struck animal","Friday","Dusk/Dawn",1,1,"Not at intersection",3,100,"WELLINGTON","EASTERN REGION",-38.16138394,146.9094918,"Wet","Not known"
